pathway_name	n_plp	n_no_plp	OR	p	ci.int1	ci.int2	padj	cohort	perc_plp	fraction
Histidine metabolism	1111	72912	1.1839940940258	0.463971805058444	0.642109722601297	2.00722399430939	1	gnomAD	1.5008848601110465	1111/74023
Porphyrin metabolism	1111	72912	1.1839940940258	0.463971805058444	0.642109722601297	2.00722399430939	1	gnomAD	1.5008848601110465	1111/74023
Yersinia infection	152	6143	0.794411481022973	0.464865456813257	0.440493243153751	1.34094234340869	1	PMBB	2.414614773629865	152/6295
Cushing syndrome	3799	70224	1.11653291578266	0.4654842888408	0.805907541119809	1.51221444754325	1	gnomAD	5.132188644070086	3799/74023
RIG-I-like receptor signaling pathway	417	73606	1.35085786568003	0.465707914047771	0.491424932660648	2.97852212471931	1	gnomAD	0.56333842184186	417/74023
Type II diabetes mellitus	1676	72347	0.778777953064227	0.468218135549239	0.422824699865104	1.31839939001281	1	gnomAD	2.264161139105413	1676/74023
Spliceosome	425	73598	1.32528610456969	0.470820262066129	0.482143726763183	2.92167465652207	1	gnomAD	0.5741458735798334	425/74023
Bile secretion	370	5925	0.874974611249958	0.476760798205584	0.617190127267956	1.21398715872143	1	PMBB	5.877680698967434	370/6295
Citrate cycle (TCA cycle)	107	6188	1.20923841771383	0.478934038930926	0.675711983986034	2.04123129261691	1	PMBB	1.6997617156473392	107/6295
Cytokine-cytokine receptor interaction	225	6070	0.83784746559145	0.48196434744869	0.527315733676226	1.27914255798267	1	PMBB	3.5742652899126295	225/6295
Vitamin digestion and absorption	1781	72242	1.16194572233972	0.482542037471716	0.721974795688257	1.77779522907468	1	gnomAD	2.4060089431663134	1781/74023
Glyoxylate and dicarboxylate metabolism	158	6137	1.1565362229806	0.483403257254374	0.715068382788748	1.79729777358302	1	PMBB	2.509928514694202	158/6295
mRNA surveillance pathway	778	73245	1.20698484461564	0.483707905025087	0.5742087552897	2.2436312549314	1	gnomAD	1.0510246815179065	778/74023
Ether lipid metabolism	443	73580	1.27112665339615	0.484335794400697	0.46253469106923	2.80133295780567	1	gnomAD	0.5984626399902733	443/74023
Vascular smooth muscle contraction	168	6127	0.808476678646627	0.486414374447634	0.465125319985701	1.32621411472071	1	PMBB	2.66878474980143	168/6295
alpha-Linolenic acid metabolism	206	73817	1.36594416125808	0.487933823944169	0.278793864997736	4.06276271974929	1	gnomAD	0.2782918822528133	206/74023
Primary immunodeficiency	117	6178	0.774647753316897	0.488576676974542	0.387354168087779	1.41310379428064	1	PMBB	1.858617950754567	117/6295
Pathogenic Escherichia coli infection	1871	72152	1.15639354827885	0.492958782597012	0.726750244285685	1.75357471834961	1	gnomAD	2.5275927752185132	1871/74023
Collecting duct acid secretion	73	6222	1.25031661058118	0.49422325654326	0.615150157745091	2.33136454538936	1	PMBB	1.159650516282764	73/6295
Rap1 signaling pathway	171	6124	1.15808453381172	0.498555212240088	0.73063084975246	1.76981305829669	1	PMBB	2.716441620333598	171/6295
Propanoate metabolism	172	6123	1.15116219435322	0.500113666662157	0.726377915942794	1.75890194951058	1	PMBB	2.732327243844321	172/6295
Lipoic acid metabolism	1359	72664	1.17589255419009	0.503590672719886	0.679405105352643	1.90220487955375	1	gnomAD	1.83591586398822	1359/74023
Taste transduction	869	73154	1.18869854676764	0.506605018354053	0.588710324973719	2.14945536961955	1	gnomAD	1.1739594450373532	869/74023
Acute myeloid leukemia	81	6214	0.746655895241375	0.508827316140869	0.310666253426014	1.54997643209348	1	PMBB	1.2867355043685464	81/6295
Fructose and mannose metabolism	1394	72629	1.14581735494806	0.512258549114916	0.66208013400188	1.85348732427279	1	gnomAD	1.883198465341853	1394/74023
Amoebiasis	2796	71227	1.1105156003596	0.512321367312925	0.757256939858996	1.57706179254949	1	gnomAD	3.77720438242168	2796/74023
Amino sugar and nucleotide sugar metabolism	2071	71952	1.13537721599216	0.514599622688636	0.728343549236411	1.6939426217905	1	gnomAD	2.7977790686678468	2071/74023
Ubiquitin mediated proteolysis	131	6164	0.807317042433377	0.514605942838276	0.427422287692719	1.41213246481346	1	PMBB	2.0810166799046863	131/6295
GnRH signaling pathway	131	6164	0.807317042433377	0.514605942838276	0.427422287692719	1.41213246481346	1	PMBB	2.0810166799046863	131/6295
cGMP-PKG signaling pathway	2870	71153	1.11498112837521	0.516445233994358	0.764815668727236	1.57567842519896	1	gnomAD	3.877173310997933	2870/74023
Complement and coagulation cascades	350	5945	0.882690695265583	0.516538725595896	0.617188025891756	1.23401997434223	1	PMBB	5.559968228752978	350/6295
Lysosome	6290	67733	1.07986857450232	0.521429159620595	0.834234910802495	1.37940712179526	1	gnomAD	8.497358928981532	6290/74023
Fatty acid metabolism	2154	71869	1.1354675473539	0.522239631918151	0.735193416453139	1.68159042455752	1	gnomAD	2.90990638044932	2154/74023
Chemical carcinogenesis	193	6102	1.14462435937708	0.5229792487932	0.741415270307776	1.71089674624424	1	PMBB	3.0659253375694995	193/6295
Phosphonate and phosphinate metabolism	5	6290	1.51737893490383	0.524506508448018	0.0320457053204565	13.584224803752	1	PMBB	0.07942811755361398	5/6295
Gap junction	1505	72518	0.806180863916156	0.525822086384252	0.42630061012463	1.39107394489753	1	gnomAD	2.0331518582062333	1505/74023
Prion disease	4020	70003	0.87994548556214	0.526934989593109	0.616823998992757	1.22130490466909	1	gnomAD	5.4307444983316	4020/74023
Phagosome	3036	70987	1.11636774330981	0.527205823061434	0.774341826362854	1.56325425490032	1	gnomAD	4.1014279345608795	3036/74023
Drug metabolism	48	6247	1.26657931904915	0.528477767639456	0.515620435105466	2.71343636092524	1	PMBB	0.7625099285146942	48/6295
N-Glycan biosynthesis	968	73055	1.16405818879339	0.52978673978244	0.596757032463675	2.05456876047705	1	gnomAD	1.3077016602947733	968/74023
Maturity onset diabetes of the young	50	6245	1.21553518592573	0.540585754135755	0.495903764619853	2.59610455022329	1	PMBB	0.7942811755361397	50/6295
Purine metabolism	3311	70712	0.872275609323083	0.543764642792715	0.587459242322219	1.25119080924192	1	gnomAD	4.472934088053713	3311/74023
Arrhythmogenic right ventricular cardiomyopathy	2398	71625	0.855612784119161	0.544000052580377	0.531987135376734	1.30802112710702	1	gnomAD	3.2395336584575065	2398/74023
Insulin secretion	154	6141	0.833863328650725	0.547309282397501	0.470954329618506	1.38830584925638	1	PMBB	2.4463860206513104	154/6295
Various types of N-glycan biosynthesis	95	6200	1.20112695373717	0.547607266040409	0.643707444431443	2.09507174155986	1	PMBB	1.5091342335186657	95/6295
Notch signaling pathway	608	73415	1.23527104626515	0.547746532085688	0.528974467980721	2.46162677600823	1	gnomAD	0.8213663320859732	608/74023
Leishmaniasis	96	6199	1.18842248016987	0.549569417107056	0.637141098256805	2.07195141286291	1	PMBB	1.5250198570293885	96/6295
Dopaminergic synapse	1755	72268	1.12450346368365	0.556568426231339	0.690262780715357	1.73682185652122	1	gnomAD	2.3708847250178997	1755/74023
Valine, leucine and isoleucine degradation	318	5977	1.10282038345702	0.556850446196847	0.784150043091934	1.52112428842811	1	PMBB	5.051628276409849	318/6295
Focal adhesion	4712	69311	1.07919401507062	0.55833958310301	0.801704652737944	1.42627654237134	1	gnomAD	6.3655890736662935	4712/74023
Cysteine and methionine metabolism	105	6190	0.791815813386421	0.559786693678418	0.381889459273263	1.48370975988301	1	PMBB	1.6679904686258933	105/6295
Prion disease	330	5965	0.891261329551883	0.559906645017511	0.617281594860988	1.25625055714497	1	PMBB	5.242255758538523	330/6295
Vascular smooth muscle contraction	1802	72221	0.828492120641882	0.560360532794204	0.470131483704621	1.35787668463414	1	gnomAD	2.4343785039784933	1802/74023
Adrenergic signaling in cardiomyocytes	2650	71373	1.1000312866092	0.563928136756585	0.740573290990359	1.57864344928106	1	gnomAD	3.5799683882036666	2650/74023
Pentose and glucuronate interconversions	57	6238	1.199658781024	0.564079645112911	0.520110947486605	2.45267897087012	1	PMBB	0.9054805401111994	57/6295
Lysine degradation	168	6127	1.13256908259284	0.569016689241767	0.707995767036464	1.7437244654441	1	PMBB	2.66878474980143	168/6295
Chemical carcinogenesis	246	6049	1.11483322970442	0.569379135529756	0.757028426436435	1.60052317444338	1	PMBB	3.907863383637808	246/6295
Progesterone-mediated oocyte maturation	65	6230	0.697939963204401	0.574929313273236	0.246308976670914	1.61000703189136	1	PMBB	1.0325655281969817	65/6295
Chemical carcinogenesis	2898	71125	1.10377013653584	0.579417649189263	0.757166291993761	1.55985059670449	1	gnomAD	3.9149993920808397	2898/74023
Arachidonic acid metabolism	714	73309	1.18317449658654	0.580317215318003	0.536802952512767	2.27051748024318	1	gnomAD	0.9645650676141199	714/74023
Circadian rhythm	312	73711	1.20230093081384	0.58045247670422	0.324745815332158	3.12185047700087	1	gnomAD	0.42149061778096	312/74023
Biosynthesis of amino acids	365	5930	1.08590095839595	0.581934989601302	0.788350348691067	1.47067503977843	1	PMBB	5.798252581413821	365/6295
Biosynthesis of unsaturated fatty acids	29	6266	1.30945143359767	0.587945938777284	0.394658906546333	3.43430696537711	1	PMBB	0.46068308181096107	29/6295
Alzheimer disease	4296	69727	1.07324849678745	0.592989931059761	0.78552743705661	1.43663192155347	1	gnomAD	5.803601583291679	4296/74023
Fatty acid metabolism	192	6103	1.10969932638787	0.593669279548816	0.713451222827195	1.66860246775791	1	PMBB	3.050039714058777	192/6295
Inflammatory bowel disease	366	73657	0.510786516196513	0.601739241651795	0.0615229796850132	1.86451962783987	1	gnomAD	0.49444091701228	366/74023
Circadian rhythm	31	6264	1.22459503053618	0.603761857322649	0.370737225712771	3.18886482464768	1	PMBB	0.4924543288324067	31/6295
Neuroactive ligand-receptor interaction	300	5995	1.09186119847848	0.604517714819832	0.767285113544189	1.5214698801066	1	PMBB	4.765687053216839	300/6295
Lipid and atherosclerosis	300	5995	1.09186119847848	0.604517714819832	0.767285113544189	1.5214698801066	1	PMBB	4.765687053216839	300/6295
Gastric acid secretion	2304	71719	1.10151241525896	0.605990558671357	0.719485205208075	1.61982898464761	1	gnomAD	3.1125461005363197	2304/74023
Nitrogen metabolism	372	73651	1.26105398726516	0.60602264026633	0.405929371544043	2.9819113583203	1	gnomAD	0.50254650581576	372/74023
Aldosterone synthesis and secretion	310	5985	0.900791543242096	0.607226524080632	0.617505032949235	1.28109812293253	1	PMBB	4.924543288324067	310/6295
Long-term potentiation	820	73203	1.14450864080428	0.607372968528546	0.544621381319653	2.12695219722132	1	gnomAD	1.1077638031422665	820/74023
Renin secretion	137	6158	0.827314751545744	0.608522020945454	0.448443555101307	1.42179167824651	1	PMBB	2.1763304209690233	137/6295
Aldosterone synthesis and secretion	3432	70591	0.896644058916761	0.609504831992361	0.611642226808137	1.27277762851818	1	gnomAD	4.63639679559056	3432/74023
PPAR signaling pathway	2390	71633	1.10132736979182	0.612187681577941	0.725292202496773	1.60896708733016	1	gnomAD	3.228726206719533	2390/74023
ECM-receptor interaction	444	5851	0.917005867250959	0.612302081150427	0.671457453497483	1.23189064608525	1	PMBB	7.053216838760921	444/6295
Olfactory transduction	78	6217	0.775744324142064	0.612482265248141	0.322358463375326	1.61324320002721	1	PMBB	1.239078633836378	78/6295
Epithelial cell signaling in Helicobacter pylori infection	77	6218	1.18460885262355	0.616350213732252	0.584116633781682	2.20212762769986	1	PMBB	1.2231930103256552	77/6295
Bacterial invasion of epithelial cells	396	73627	1.18424202825884	0.620627936729869	0.381339003199742	2.79888436622627	1	gnomAD	0.5349688610296799	396/74023
Th17 cell differentiation	907	73116	1.1383061724392	0.624295152277794	0.56384493669303	2.05792146486418	1	gnomAD	1.2252948407927267	907/74023
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	87	6208	0.782250017448369	0.62995500552237	0.344810417141518	1.56246072912534	1	PMBB	1.3820492454328832	87/6295
Systemic lupus erythematosus	87	6208	0.782250017448369	0.62995500552237	0.344810417141518	1.56246072912534	1	PMBB	1.3820492454328832	87/6295
Ovarian steroidogenesis	1705	72318	1.10169267635066	0.632968335452901	0.667405487453327	1.71899240783156	1	gnomAD	2.3033381516555664	1705/74023
Glutamatergic synapse	1736	72287	0.860775888242402	0.636591260645016	0.488402317626691	1.41098737803048	1	gnomAD	2.345217027140213	1736/74023
Coronavirus disease	2777	71246	1.08307008944781	0.637614462414213	0.733981921244013	1.54589995318222	1	gnomAD	3.751536684543993	2777/74023
Lysosome	518	5777	1.05934466760472	0.639479050332142	0.806719877331646	1.37492658605337	1	PMBB	8.22875297855441	518/6295
C-type lectin receptor signaling pathway	92	6203	0.822280294746543	0.64319346278854	0.380049047412511	1.58984406203244	1	PMBB	1.4614773629864972	92/6295
Other glycan degradation	1063	72960	0.790940987773349	0.649653063135984	0.359309230734086	1.51498148118551	1	gnomAD	1.4360401496832065	1063/74023
Platelet activation	175	6120	0.86353534962056	0.650280893816677	0.511724733311513	1.38456473194256	1	PMBB	2.779984114376489	175/6295
Ether lipid metabolism	40	6255	1.13861197177626	0.650520627885144	0.393318938078354	2.71406346863015	1	PMBB	0.6354249404289118	40/6295
Cortisol synthesis and secretion	276	6019	0.90295371930349	0.650589365967581	0.604752126378246	1.30984949740967	1	PMBB	4.384432088959492	276/6295
Purine metabolism	277	6018	0.899543235251019	0.650751898179824	0.60251034352056	1.30476912450187	1	PMBB	4.400317712470214	277/6295
Focal adhesion	400	5895	1.06628507400521	0.650935128881459	0.783409978317937	1.4288498363753	1	PMBB	6.354249404289118	400/6295
Adrenergic signaling in cardiomyocytes	278	6017	0.896157238738476	0.651058591307591	0.600284410022746	1.29975472728388	1	PMBB	4.416203335980938	278/6295
Butanoate metabolism	100	6195	0.832091008837155	0.656041838480024	0.400738412063402	1.56217761944647	1	PMBB	1.5885623510722795	100/6295
Morphine addiction	100	6195	0.832091008837155	0.656041838480024	0.400738412063402	1.56217761944647	1	PMBB	1.5885623510722795	100/6295
Retinol metabolism	101	6194	0.823717135010997	0.656265094376429	0.396832996593117	1.54585306155288	1	PMBB	1.6044479745830023	101/6295
GABAergic synapse	102	6193	0.815507357583729	0.656869477831729	0.393003413625034	1.52984607472631	1	PMBB	1.620333598093725	102/6295
Ribosome	11	6284	1.37981073507975	0.657257477392953	0.148393081834127	6.33882600295754	1	PMBB	0.17474185861795077	11/6295
FoxO signaling pathway	179	6116	1.10486930079063	0.658052068543957	0.697906746947737	1.68603396442669	1	PMBB	2.8435266084193804	179/6295
Amino sugar and nucleotide sugar metabolism	189	6106	1.08629842965773	0.666859416928651	0.692741081865166	1.64413832242067	1	PMBB	3.0023828435266084	189/6295
Proximal tubule bicarbonate reclamation	47	6248	1.13064126341331	0.673078018861489	0.42972353117357	2.52856700644585	1	PMBB	0.7466243050039714	47/6295
Nucleocytoplasmic transport	1224	72799	0.839846693681666	0.673911056049553	0.416391922133462	1.51646529810553	1	gnomAD	1.6535401159099197	1224/74023
Parathyroid hormone synthesis, secretion and action	2207	71816	0.8886121208222	0.674054014943532	0.545726308783811	1.37161667120148	1	gnomAD	2.9815057482133933	2207/74023
IL-17 signaling pathway	559	73464	1.17489038800232	0.675674931628228	0.468624995758025	2.44831396632246	1	gnomAD	0.7551706901908867	559/74023
Cholesterol metabolism	336	5959	0.921588815768448	0.680461230737049	0.643978496186635	1.28945001983536	1	PMBB	5.33756949960286	336/6295
Maturity onset diabetes of the young	576	73447	1.13995194294093	0.681168111987977	0.454756789969159	2.3750908253312	1	gnomAD	0.7781365251340799	576/74023
Lipoic acid metabolism	117	6178	1.10407891734724	0.6833180895308	0.618821398961372	1.85645187401718	1	PMBB	1.858617950754567	117/6295
Oxytocin signaling pathway	219	6076	0.897193517619381	0.685355939089487	0.569402526211713	1.3612516315394	1	PMBB	3.478951548848292	219/6295
Oxytocin signaling pathway	2413	71610	0.889916303630669	0.686351590669701	0.559588745344963	1.3485143386886	1	gnomAD	3.2597976304662066	2413/74023
Peroxisome	2440	71583	1.07798633418331	0.688054486989929	0.709967340134316	1.57478176226267	1	gnomAD	3.2962727800818667	2440/74023
TGF-beta signaling pathway	1361	72662	1.10363986361196	0.688313274525304	0.625850843230267	1.81043219305697	1	gnomAD	1.8386177269227133	1361/74023
Glycosphingolipid biosynthesis	598	73425	1.09768624279414	0.690224016301465	0.437967858352089	2.28657611414053	1	gnomAD	0.8078570174135066	598/74023
Asthma	161	73862	1.16438701235737	0.691619377041626	0.139576735203002	4.28895650195014	1	gnomAD	0.2174999662267133	161/74023
Aldosterone-regulated sodium reabsorption	54	6241	1.12476379325233	0.692004640721396	0.460591961366853	2.38915358340719	1	PMBB	0.857823669579031	54/6295
Salivary secretion	126	6169	1.08534293401433	0.694871125022071	0.619647412547326	1.79782518722769	1	PMBB	2.0015885623510723	126/6295
Cytosolic DNA-sensing pathway	131	6164	0.866000490775813	0.696220242142541	0.468868585014089	1.49063230244168	1	PMBB	2.0810166799046863	131/6295
Antifolate resistance	60	6235	1.13911793481214	0.705093042222128	0.495067108979362	2.32118638831009	1	PMBB	0.9531374106433679	60/6295
ABC transporters	4504	69519	0.932311817741215	0.708342267087731	0.67309954303288	1.26234077894157	1	gnomAD	6.0845953284789855	4504/74023
Caffeine metabolism	14	6281	1.08369561812993	0.709165195984115	0.119315386768809	4.73066892664942	1	PMBB	0.22239872915011916	14/6295
TNF signaling pathway	65	6230	0.815254507651198	0.714691578836403	0.314260989191172	1.78516188898024	1	PMBB	1.0325655281969817	65/6295
Galactose metabolism	153	6142	1.09304191298925	0.719886397481529	0.661354431536479	1.72784444956993	1	PMBB	2.430500397140588	153/6295
Ascorbate and aldarate metabolism	76	6219	0.796419799415637	0.731168194470737	0.330652749574073	1.65831770213206	1	PMBB	1.2073073868149324	76/6295
Growth hormone synthesis, secretion and action	1864	72159	1.05718165102969	0.732541364743921	0.649027703805236	1.63248636028076	1	gnomAD	2.5181362549477866	1864/74023
Staphylococcus aureus infection	1880	72143	0.894730023612899	0.73311746261584	0.526252555699094	1.42757681389238	1	gnomAD	2.539751158423733	1880/74023
Nucleotide metabolism	1882	72141	0.89375442200103	0.733138254240332	0.525667554600793	1.42602385259833	1	gnomAD	2.5424530213582264	1882/74023
Th17 cell differentiation	77	6218	1.08461430474652	0.739106399239397	0.517633551110652	2.06163247382991	1	PMBB	1.2231930103256552	77/6295
Rap1 signaling pathway	2039	71984	1.05867729632944	0.742926816394316	0.665457326416385	1.60495132580959	1	gnomAD	2.7545492617159533	2039/74023
Pantothenate and CoA biosynthesis	84	6211	0.810587944095595	0.743907732550507	0.356867367017914	1.62164770610096	1	PMBB	1.334392374900715	84/6295
Intestinal immune network for IgA production	237	73786	1.18678024484709	0.744094770347607	0.242478939513238	3.52345671186147	1	gnomAD	0.32017075773745995	237/74023
Basal transcription factors	82	6213	1.11146642829606	0.745296040115195	0.549421109092981	2.0593918249398	1	PMBB	1.3026211278792692	82/6295
Ascorbate and aldarate metabolism	932	73091	0.802291613086543	0.746237993609366	0.344142536596926	1.59525905126232	1	gnomAD	1.2590681274738933	932/74023
Taste transduction	83	6212	1.09796810494975	0.747007410252209	0.542970123735491	2.03304398413919	1	PMBB	1.3185067513899922	83/6295
Cholinergic synapse	201	6094	0.902773848587731	0.751160058706225	0.561541968012863	1.39260803896552	1	PMBB	3.1930103256552824	201/6295
Alzheimer disease	362	5933	1.05061202691855	0.751585738238179	0.758279080334553	1.43001480663775	1	PMBB	5.750595710881652	362/6295
Arginine and proline metabolism	88	6207	0.860159582304514	0.752679324552107	0.397025466117554	1.66649416518109	1	PMBB	1.3979348689436062	88/6295
Regulation of lipolysis in adipocytes	89	6206	0.850416043004577	0.752792026062399	0.392653597926319	1.64666472577857	1	PMBB	1.413820492454329	89/6295
Systemic lupus erythematosus	986	73037	0.853607572394969	0.755568917364263	0.387701666082995	1.63550225279301	1	gnomAD	1.3320184267052133	986/74023
C-type lectin receptor signaling pathway	1013	73010	0.830548993310054	0.756649063629897	0.377251607713785	1.59112266632043	1	gnomAD	1.3684935763208732	1013/74023
Thiamine metabolism	259	73764	1.08564673279928	0.758509684165603	0.221957424431681	3.21983529990228	1	gnomAD	0.34989125001688665	259/74023
Carbohydrate digestion and absorption	1035	72988	1.08770051348921	0.759223434190782	0.557749289712342	1.91923218850976	1	gnomAD	1.3982140686003	1035/74023
Cytokine-cytokine receptor interaction	2474	71549	0.906121958135663	0.764624122465063	0.575819979194672	1.36177689291887	1	gnomAD	3.342204449968253	2474/74023
Calcium signaling pathway	417	5878	1.03941543295854	0.767189928100901	0.765996976898654	1.3889249978243	1	PMBB	6.624305003971406	417/6295
GABAergic synapse	1117	72906	0.836789697181341	0.767631785694647	0.398585495093118	1.55296047582945	1	gnomAD	1.5089904489145265	1117/74023
Chagas disease	1123	72900	1.08609008129435	0.768490314769252	0.573852523141249	1.87597864256247	1	gnomAD	1.5170960377180065	1123/74023
Cytosolic DNA-sensing pathway	1126	72897	1.08314899554834	0.768813104602193	0.5723053423601	1.87087649238258	1	gnomAD	1.5211488321197464	1126/74023
Glycosaminoglycan biosynthesis	275	73748	1.02227237732631	0.770577193439563	0.209076165569116	3.03008016981497	1	gnomAD	0.3715061534928333	275/74023
Pancreatic secretion	2772	71251	1.04984797788634	0.777129883717133	0.706812687183769	1.5064216197881	1	gnomAD	3.7447820272077594	2772/74023
Pyrimidine metabolism	120	6175	0.882855062891544	0.785663834209952	0.466290029372588	1.54913033081573	1	PMBB	1.9062748212867358	120/6295
Diabetic cardiomyopathy	285	6010	0.928385849655876	0.788926745185761	0.629063476636982	1.33366798599306	1	PMBB	4.527402700555997	285/6295
Viral protein interaction with cytokine and cytokine receptor	31	6264	0.733031679421808	0.791628104866821	0.143103001122491	2.35791206951689	1	PMBB	0.4924543288324067	31/6295
beta-Alanine metabolism	1400	72623	0.867898874223306	0.791734855423436	0.458855794155729	1.49789284778119	1	gnomAD	1.8913040541453332	1400/74023
Pyruvate metabolism	127	6168	0.893863579205268	0.791811745999564	0.483526723105323	1.54024960850854	1	PMBB	2.0174741858617953	127/6295
Nicotinate and nicotinamide metabolism	32	6263	0.710013578120957	0.792145667132222	0.138822010221427	2.27734974181788	1	PMBB	0.5083399523431295	32/6295
Intestinal immune network for IgA production	32	6263	0.710013578120957	0.792145667132222	0.138822010221427	2.27734974181788	1	PMBB	0.5083399523431295	32/6295
Biotin metabolism	33	6262	0.688390382065598	0.793406278741998	0.134786508882699	2.2020646351378	1	PMBB	0.5242255758538522	33/6295
Renin secretion	1453	72570	0.901069561175412	0.796951652833238	0.489054197781299	1.52605590666781	1	gnomAD	1.9629034219094066	1453/74023
VEGF signaling pathway	367	73656	1.02136707056886	0.799842579540763	0.276120269984596	2.64785672572493	1	gnomAD	0.4957918484795266	367/74023
Glycosaminoglycan degradation	136	6159	1.06097973642104	0.799937518558128	0.616174570429091	1.73311417403677	1	PMBB	2.1604447974583003	136/6295
Nicotinate and nicotinamide metabolism	383	73640	0.732930873895079	0.803257011397693	0.150184844029289	2.16590342474118	1	gnomAD	0.5174067519554733	383/74023
Osteoclast differentiation	1585	72438	0.884559976889342	0.803912173448059	0.491474857148373	1.47265249058219	1	gnomAD	2.1412263755859664	1585/74023
Renin-angiotensin system	399	73624	0.703387556479922	0.804591394405989	0.144145219858785	2.07814310267988	1	gnomAD	0.5390216554314199	399/74023
Bacterial invasion of epithelial cells	35	6260	1.08399961738867	0.804743778229863	0.330565532945488	2.78940439243624	1	PMBB	0.5559968228752978	35/6295
Nucleotide metabolism	150	6145	0.908123891868366	0.807782922245841	0.521036039423757	1.49496876861952	1	PMBB	2.3828435266084194	150/6295
Hypertrophic cardiomyopathy	3814	70209	1.03362668498958	0.80817469848145	0.737443031158814	1.41363074746673	1	gnomAD	5.1524526160787865	3814/74023
Oxidative phosphorylation	151	6144	1.05620316620392	0.809644765743195	0.63149067220989	1.68525457096916	1	PMBB	2.3987291501191423	151/6295
Nucleotide excision repair	153	6142	1.04205384540727	0.811422682849965	0.623258129859493	1.66197010678649	1	PMBB	2.430500397140588	153/6295
Phenylalanine metabolism	159	6136	0.904103986412174	0.812672569597395	0.527306976432737	1.46904529539636	1	PMBB	2.5258141382049244	159/6295
VEGF signaling pathway	39	6256	0.776834859486284	0.812830074334305	0.201123304554832	2.16112860058819	1	PMBB	0.619539316918189	39/6295
Biosynthesis of nucleotide sugars	157	6138	1.06449082968544	0.813095930463564	0.644556294976299	1.68125083858445	1	PMBB	2.494042891183479	157/6295
Vitamin digestion and absorption	160	6135	1.04401579239926	0.815162116084074	0.632466188205397	1.64788135699779	1	PMBB	2.5416997617156474	160/6295
Cushing syndrome	384	5911	0.944849893251716	0.816334818688556	0.678518012908891	1.29124344012562	1	PMBB	6.100079428117554	384/6295
Pathogenic Escherichia coli infection	167	6128	1.045822300795	0.818722743170292	0.641154941091226	1.63481628336539	1	PMBB	2.652899126290707	167/6295
Folate biosynthesis	1872	72151	1.05254319868778	0.819195661948608	0.646192256787009	1.62530976010028	1	gnomAD	2.5289437066857596	1872/74023
Tyrosine metabolism	168	6127	1.03942618561509	0.819537825918459	0.637279914927122	1.6245104323442	1	PMBB	2.66878474980143	168/6295
Parathyroid hormone synthesis, secretion and action	168	6127	1.03942618561509	0.819537825918459	0.637279914927122	1.6245104323442	1	PMBB	2.66878474980143	168/6295
Circadian entrainment	1979	72044	1.04284741496204	0.824090766666448	0.648141053939243	1.59504337722469	1	gnomAD	2.6734933736811533	1979/74023
Ovarian steroidogenesis	181	6114	0.919722450765552	0.8242351726398	0.558898442391245	1.4461979641429	1	PMBB	2.875297855440826	181/6295
Vibrio cholerae infection	181	6114	1.04904125348819	0.82535981082914	0.657032822423848	1.61131002830439	1	PMBB	2.875297855440826	181/6295
Circadian entrainment	187	6108	0.930917470659319	0.827509961434823	0.572292393041665	1.45026443021064	1	PMBB	2.9706115965051625	187/6295
Retrograde endocannabinoid signaling	188	6107	0.92581330480253	0.827585770818041	0.569227813918386	1.4420177889417	1	PMBB	2.9864972200158855	188/6295
Non-homologous end-joining	519	73504	1.08386430759346	0.828025182864716	0.394720857355969	2.38588644862393	1	gnomAD	0.7011334315010199	519/74023
Retrograde endocannabinoid signaling	2120	71903	0.92619926162848	0.830078893835137	0.568775641040911	1.42977176333343	1	gnomAD	2.863974710562933	2120/74023
RNA polymerase	565	73458	0.828117481264056	0.837913349838449	0.267086518683379	1.9522379865724	1	gnomAD	0.7632762789943667	565/74023
Glutathione metabolism	55	6240	0.826167580507412	0.841132694909445	0.289728334127822	1.92405663994737	1	PMBB	0.8737092930897538	55/6295
Proximal tubule bicarbonate reclamation	614	73409	1.06882639616145	0.841956375714234	0.426510658004149	2.22608333816891	1	gnomAD	0.8294719208894532	614/74023
TNF signaling pathway	616	73407	1.06532382342414	0.842252640015536	0.425120221367205	2.21875435612112	1	gnomAD	0.8321737838239467	616/74023
Mannose type O-glycan biosynthesis	58	6237	1.04656838013994	0.847371791704284	0.429957697497124	2.21246482537904	1	PMBB	0.9213661636219221	58/6295
Autoimmune thyroid disease	656	73367	0.855919470786632	0.849536382848879	0.31197705450783	1.88146054692786	1	gnomAD	0.8862110425138132	656/74023
Olfactory transduction	776	73247	0.84384998340898	0.859610992793803	0.337019167716666	1.75531501374837	1	gnomAD	1.0483228185834133	776/74023
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	811	73212	1.04030387943237	0.862668531973571	0.472164644124638	1.99502747590619	1	gnomAD	1.0956054199370466	811/74023
Antifolate resistance	853	73170	0.877542027521729	0.866852952422312	0.376316730618442	1.74558083494541	1	gnomAD	1.1523445415614066	853/74023
Butanoate metabolism	899	73124	1.0428305154124	0.869398655104185	0.496389262082182	1.9371414840895	1	gnomAD	1.2144873890547532	899/74023
Pentose phosphate pathway	941	73082	0.894979004448435	0.87342932114998	0.406435521743324	1.71504784612212	1	gnomAD	1.2712265106791132	941/74023
Pantothenate and CoA biosynthesis	948	73075	0.888285487676983	0.873499406795532	0.403407042951976	1.7021986742731	1	gnomAD	1.2806830309498398	948/74023
